Title,Address,Description,Price,Date added,Seller,Url
3 bedroom penthouse for sale,"Penthouse, Kirkview Crescent, Newton Mearns",RESERVED - An opportunity to acquire a particularly spacious three bedroom Penthouse in Newton Mearns.,"£695,000",Added on 29/06/2021,"Nicol Estate Agents, Newton Mearns",www.rightmove.co.uk/properties/105542351
4 bedroom detached house for sale,"Woodvale Avenue, Giffnock, Glasgow, G46",An individual traditional detached house extending to approximately 3310 square feet or thereby.,"£695,000",Added on 23/06/2021,"Corum, Newton Mearns",www.rightmove.co.uk/properties/109642958
4 bedroom detached house for sale,"Norwood Drive, Giffnock, Glasgow",Arnprior is a truly spectacular detached villa which successfully blends period architecture with a significant extension and high specification finish to produce a wonderful home within locally admired Lower Whitecraigs. Surely one of the very finest houses to grace the local market i...,"£690,000",Added yesterday,"Rettie & Co, Newton Mearns",www.rightmove.co.uk/properties/109642958
3 bedroom duplex for sale,"Plot 81 -  Park Quadrant Residences, Glasgow, G3","A spectacular home with exceptional specification. Accommodation extends across two levels benefiting from principal suite with walk-in wardrobe, 3 en suites bathrooms & private terrace. ","£681,000",Added on 19/02/2021,"Savills New Homes, Glasgow",www.rightmove.co.uk/properties/109359374
Land for sale,"Newlands Road, East Kilbride, Glasgow, G75",Ideal opportunity for the builder/developer to purchase this substantial plot ideally located in a highly desirable area close to both Jackton and East Kilbride.,"£675,000",,"Marketed by National Property, Glasgow",www.rightmove.co.uk/properties/109359374
3 bedroom penthouse for sale,"Kirkview Crescent, Newton Mearns","RESERVED - A spacious three bedroom Penthouse with private main door access, sun room with access to a private south facing terrace. The main accommodation is located on the first floor including access to two terraces.","£675,000",Added on 29/06/2021,"Nicol Estate Agents, Newton Mearns",www.rightmove.co.uk/properties/109786076
6 bedroom detached house for sale,"Balmore Road, Bardowie, East Dunbartonshire, G62 6ES","A truly spectacular 6 bedroom detached bungalow which has been extensively refurbished and transformed by the addition of a magnificent rear extension and two significant contemporary dormer extensions. ‘Westways’ is an impressive six bedroom, two public room detached bungalow formed over two...","£665,000",Added on 14/05/2021,"Clyde Property, Bearsden",www.rightmove.co.uk/properties/109786076
2 bedroom apartment for sale,"Blythswood Street, Blythswood Hill, Glasgow","A unique opportunity for an Investor looking to enter the serviced apartment market or to expand their rental portfolio in Glasgow City Centre. Apartments 1, 2 & 3 at No. 79 Blythswood Street are centrally located within Glasgow’s International Financial Services District in...","£650,000",Added on 15/01/2021,"Rettie & Co, Glasgow",www.rightmove.co.uk/properties/89233627
4 bedroom detached house for sale,"Glebe Wynd, Bothwell, Glasgow, South Lanarkshire, G71","Situated in the heart of the conservation village of Bothwell, in one of the village’s most exclusive addresses, this expansive executive detached villa is presented to the market in immaculate condition throughout. The property is formed over two levels, with the entrance level ...","£650,000",Reduced on 09/11/2020,"Slater Hogg & Howison, Hamilton",www.rightmove.co.uk/properties/89233627
5 bedroom town house for sale,"The Elder, 52 Normal Avenue, Jordanhill Park, Jordanhill, G13 1FE","A stunning, mid terrace townhouse by Cala within the award winning Jordanhill Park.","£649,500",Added on 03/02/2021,"Corum, West End",www.rightmove.co.uk/properties/67772724
4 bedroom detached house for sale,"Kelvinside Gardens East, North Kelvinside, Glasgow, G20 6BE","HD Video Available. A delightful detached family home which was completely rebuilt to a high specification approximately ten years ago and now provides flexible, contemporary accommodation of six principle apartments, all set amidst sheltered private gardens within this quiet address. ...","£645,000",Added on 25/06/2021,"Clyde Property, Westend",www.rightmove.co.uk/properties/67772724
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","For luxury living in the West End, discover this spacious, high specification home surrounded by parkland. Thoughtful touches and high specification can be found throughout - included as standard - such as the spectacular designer kitchen with induction hob, Silestone worktops, boiling tap, an...","£629,995",Added on 31/03/2021,CALA Homes,www.rightmove.co.uk/properties/109649111
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","Discover this spacious home in the West End set across 3 impressive levels. Set in Jordanhill Park, enjoy lush parkland right on your doorstep, as well as your private garden, parking and high spec such as underfloor heating & induction hob.","£629,500",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/109649111
4 bedroom detached house for sale,"Ayr Road,
Newton Mearns,
G77 5GR","The Elliot Studio is the perfect family home, complete with 4 bedrooms, study space and additional recreational space over the garage.?","£619,995",Added on 19/05/2021,CALA Homes,www.rightmove.co.uk/properties/106944827
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","Discover this spacious home in the West End set across 3 impressive levels. Set in Jordanhill Park, enjoy lush parkland right on your doorstep, as well as your private garden, parking and high spec such as underfloor heating & induction hob.","£619,995",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/106944827
5 bedroom town house for sale,"Southbrae Drive,
Glasgow,
G13","For luxury living in the West End, discover this spacious, high specification home surrounded by parkland. Thoughtful touches and high specification can be found throughout - included as standard - such as the spectacular designer kitchen with induction hob, Silestone worktops, boiling tap, an...","£619,995",Added on 18/05/2021,CALA Homes,www.rightmove.co.uk/properties/88332331
4 bedroom detached house for sale,"Myrtle Avenue, Lenzie, East Dunbartonshire, G66 4HP","Dating back to the late 1800’s, and originally built as the St Cyprian’s Church Manse, this truly magnificent detached Victorian villa of eight principal apartments occupies one of Lenzie’s most prestigious addresses. Offering four double bedrooms and four sizeable public rooms, this exquisit...","£615,000",Added on 04/06/2021,"Clyde Property, Bearsden",www.rightmove.co.uk/properties/88332331
